filing_status,income,student_loan_interest,mortgage_interest,charitable_donations,dependents,predicted_tax,refund
single,58385,575,4927,907,1,2946,0
head_of_household,61572,2372,4390,2654,2,69,0
married_filing_jointly,20035,1415,2687,3792,3,0,6000
head_of_household,78326,929,4951,4042,1,4869,0
head_of_household,66929,1463,6160,1371,0,4975,0
married_filing_jointly,79960,832,5388,320,0,6551,0
head_of_household,10000,1054,9540,4654,1,0,2000
single,101767,1648,5126,4059,1,11393,0
single,57208,1900,816,1131,1,2619,0
head_of_household,82163,1457,9012,2578,2,3919,0
single,39201,1399,192,4042,0,2169,0
head_of_household,72255,442,1776,3367,2,1789,0
single,38931,2122,3645,817,2,0,1562
single,47524,556,6314,11,3,0,2247
head_of_household,98280,1178,8442,194,0,12051,0
single,56186,2037,1788,2537,0,4311,0
head_of_household,64348,362,7374,2842,1,2621,0
single,77401,2495,3700,2229,1,6249,0
single,69913,1257,9359,3009,3,702,0
married_filing_jointly,63008,1841,3893,4751,2,0,774
married_filing_jointly,67299,2309,6811,2077,1,2005,0
head_of_household,108068,1850,9288,3867,1,11248,0
married_filing_jointly,58847,2172,2679,4873,0,2672,0
head_of_household,64021,910,3904,443,0,4804,0
married_filing_jointly,81013,244,7260,297,1,4917,0
single,82110,541,504,4903,0,9127,0
head_of_household,83740,2169,9813,844,3,2491,0
head_of_household,72774,2172,9579,1015,1,4040,0
single,37139,1572,6773,1384,0,2219,0
head_of_household,92668,2217,3816,1397,3,4323,0
head_of_household,37073,123,717,553,0,1651,0
married_filing_jointly,66052,1731,4434,2350,0,3892,0
head_of_household,44914,785,658,4516,0,2037,0
single,58717,2043,5057,1269,1,2766,0
married_filing_jointly,66575,2248,4008,1260,2,24,0
married_filing_jointly,66427,2416,4994,184,0,4115,0
single,68438,796,4234,4563,3,137,0
single,92274,76,3764,2410,1,10013,0
married_filing_jointly,69070,58,4637,4431,1,2205,0
head_of_household,55116,2478,2104,2209,3,0,2664
married_filing_jointly,79281,1523,9447,3672,0,5512,0
single,83789,1936,6801,4683,2,5237,0
married_filing_jointly,35447,2156,8575,1881,0,371,0
single,71948,1301,2607,4296,3,857,0
married_filing_jointly,74023,67,8385,521,1,3369,0
head_of_household,54048,2352,3719,1887,2,0,738
married_filing_jointly,87514,1932,2581,2552,1,5480,0
married_filing_jointly,56998,364,2565,3809,3,0,3205
single,62511,820,2763,4883,0,4934,0
single,56538,1402,6328,4155,2,235,0
single,60311,2390,5991,4673,1,2507,0
married_filing_jointly,38074,946,3406,4416,1,0,1498
head_of_household,31198,1577,8923,3479,1,0,1465
single,91890,1377,4780,1409,0,11863,0
single,43060,1439,4177,1694,2,0,1090
married_filing_jointly,40172,761,6476,4664,0,704,0
single,16932,340,2604,526,0,221,0
head_of_household,47220,382,8181,2660,0,2585,0
head_of_household,33538,1003,2382,2172,3,0,5043
single,92840,1556,531,4966,3,5250,0
single,80196,299,6079,279,3,3776,0
married_filing_jointly,46236,138,634,2964,2,0,2367
head_of_household,105048,358,9961,3977,0,12888,0
head_of_household,79635,835,2,2669,0,7480,0
single,53503,1522,8397,2893,3,0,1991
married_filing_jointly,10011,1627,5951,1751,0,0,0
head_of_household,105818,1982,5626,3981,0,12699,0
head_of_household,32208,1303,7739,4769,1,0,1466
married_filing_jointly,27092,908,6003,2361,0,0,0
married_filing_jointly,80451,1134,2890,4427,1,3689,0
head_of_household,108795,2186,6239,4131,0,13276,0
head_of_household,87685,995,8026,1708,2,5427,0
married_filing_jointly,71278,2482,3306,2686,3,0,1610
head_of_household,71895,2320,897,2895,1,3401,0
single,77068,2151,9277,4535,3,1744,0
single,75178,1237,9471,2776,1,5916,0
married_filing_jointly,65623,1784,670,1119,1,1982,0
married_filing_jointly,62084,164,7291,2988,1,1527,0
married_filing_jointly,58748,998,1505,4259,2,0,1125
single,44920,1307,6460,4243,0,2842,0
head_of_household,54386,656,5167,194,1,1708,0
single,26140,2211,5255,662,2,0,3058
head_of_household,58033,1909,249,479,1,1961,0
single,40228,2046,6457,4218,0,2193,0
head_of_household,37928,2111,1892,1423,1,0,588
single,63597,1140,3439,2708,2,1405,0
married_filing_jointly,87840,1889,2854,3175,0,7424,0
single,78366,266,9695,3814,2,4603,0
head_of_household,28589,1845,3792,2014,0,393,0
single,40207,1708,5330,3789,0,2283,0
single,78815,2293,7871,4805,3,2038,0
single,40350,2442,8235,2443,3,0,3626
married_filing_jointly,55507,1510,3612,911,3,0,3173
single,71001,475,2618,3213,0,7069,0
married_filing_jointly,40633,976,4678,2364,1,0,1040
married_filing_jointly,62107,1207,3163,3629,2,0,671
single,33319,1043,9480,3472,2,0,2425
single,47972,1960,2942,680,2,0,442
single,66395,557,8411,4651,3,0,278
head_of_household,28140,1017,1925,609,0,571,0
single,68809,1605,2972,2156,3,571,0
married_filing_jointly,59607,882,990,3866,1,1039,0
single,71049,2194,1812,371,0,7326,0
head_of_household,64478,665,8995,615,2,867,0
single,87282,1771,489,2253,3,4577,0
head_of_household,62504,863,5876,4942,3,0,1912
head_of_household,51411,581,9685,4138,1,887,0
single,62445,694,3645,864,1,3655,0
married_filing_jointly,70865,1251,7081,1268,3,0,1342
head_of_household,60977,1610,2891,784,1,2313,0
single,60811,1239,9897,4571,2,718,0
single,45960,2454,3516,4178,1,837,0
married_filing_jointly,46741,398,3340,2237,1,0,251
head_of_household,31947,1946,6410,4054,3,0,5485
head_of_household,94991,714,53,4895,3,4395,0
single,35122,703,2575,935,0,2136,0
single,46141,1714,615,3980,0,2971,0
married_filing_jointly,45631,1972,5944,2338,3,0,4585
married_filing_jointly,77898,81,7404,325,1,4261,0
head_of_household,54101,603,954,1534,1,1519,0
head_of_household,84954,1970,1629,3480,0,8222,0
single,46530,1710,6859,3861,0,3033,0
head_of_household,65579,2046,8841,1985,0,4669,0
married_filing_jointly,43293,902,3278,4932,2,0,3024
married_filing_jointly,102902,364,5455,4603,2,6759,0
single,36248,162,3801,2778,0,2114,0
married_filing_jointly,66196,1863,2561,1270,1,2023,0
married_filing_jointly,72675,115,6539,640,0,5086,0
married_filing_jointly,68275,2384,370,4703,2,0,201
married_filing_jointly,56294,880,857,4078,1,616,0
single,57403,839,4886,4661,2,346,0
single,60876,2194,7485,1367,1,2995,0
head_of_household,57059,1346,383,4042,2,0,515
married_filing_jointly,79277,2490,4334,2575,1,3540,0
head_of_household,104210,1036,4290,3603,1,10637,0
single,48850,942,2725,1581,1,1677,0
single,32603,1724,6204,1986,1,0,414
single,58234,2334,6111,2240,3,0,1442
single,111594,1137,4251,3966,2,11688,0
single,43926,21,922,2105,2,0,866
single,92782,1749,2915,128,3,6259,0
single,93554,682,7957,4801,1,9636,0
married_filing_jointly,48928,1833,3046,3996,1,0,372
head_of_household,71379,2367,9166,851,2,1726,0
single,92567,125,1230,4103,3,5695,0
married_filing_jointly,52417,276,7647,2076,1,463,0
married_filing_jointly,55928,1999,4933,2994,1,568,0
head_of_household,48366,1227,9555,3744,1,491,0
single,39704,2241,3940,2756,0,2282,0
head_of_household,47014,695,6483,1644,3,0,3355
single,35521,1309,203,4371,1,0,301
married_filing_jointly,60681,56,160,3144,0,3353,0
married_filing_jointly,44600,18,8960,242,3,0,4223
married_filing_jointly,64675,2311,3748,4085,1,1449,0
married_filing_jointly,28882,112,6718,170,2,0,3910
head_of_household,66617,541,2581,652,0,5134,0
single,76670,578,1093,3512,0,8228,0
single,20125,1088,4500,1499,1,0,1631
head_of_household,67481,24,8799,2099,1,3126,0
single,84553,1572,5710,2158,0,10041,0
married_filing_jointly,35807,2048,9732,1972,2,0,3591
single,93451,1572,2875,3925,2,7610,0
married_filing_jointly,68380,140,3191,2258,3,0,1626
head_of_household,45899,1767,1837,4039,1,95,0
single,58884,647,689,2035,2,862,0
head_of_household,71166,2235,3759,3271,3,0,823
single,61520,200,2103,857,2,1562,0
married_filing_jointly,70775,256,365,3823,1,2459,0
head_of_household,41586,546,8092,1049,3,0,3917
single,63387,2241,4172,3990,3,0,1023
married_filing_jointly,31725,801,6033,298,3,0,5707
head_of_household,57775,941,2378,923,2,0,6
head_of_household,41921,413,1205,4232,1,0,242
single,45289,2014,4988,4306,3,0,3205
single,84721,1381,5669,2799,0,9979,0
single,81826,1098,2735,4875,1,6948,0
married_filing_jointly,72182,909,9867,4062,0,4521,0
single,38153,187,8490,4045,0,2188,0
head_of_household,53671,2015,956,1802,3,0,2733
head_of_household,84261,1313,9306,2713,3,2383,0
single,62834,2092,6623,4506,2,866,0
single,106386,2130,1474,2853,2,10569,0
head_of_household,67866,1146,4460,2657,2,971,0
married_filing_jointly,63840,357,7002,4522,1,1531,0
single,53817,1551,6396,3346,2,0,11
single,62670,1089,2828,1471,0,5484,0
head_of_household,56950,1680,2850,2949,2,0,437
single,74162,2422,2964,941,3,1836,0
married_filing_jointly,79134,161,4594,1907,2,2168,0
head_of_household,44280,2369,9141,4837,1,0,267
single,33375,449,6644,1243,1,0,80
head_of_household,23275,1497,2850,4423,0,0,0
single,70159,1036,165,1466,1,5145,0
single,37932,2231,919,3957,2,0,2072
single,16942,2158,8305,1966,3,0,6000
married_filing_jointly,67771,1950,3504,375,1,2309,0
married_filing_jointly,109859,1313,991,262,0,13035,0
head_of_household,59878,2342,6047,4362,2,0,335
single,76769,1238,3839,3388,0,8131,0
single,61636,973,1258,3395,1,2990,0
married_filing_jointly,58022,631,7609,1944,1,1109,0
single,78381,1590,8706,1893,0,8738,0
married_filing_jointly,54194,1050,4804,3634,2,0,1602
single,65347,1588,67,1652,1,3924,0
head_of_household,66433,2368,9788,4141,3,0,1525
single,46638,1693,5660,3892,1,1044,0
single,79840,436,4478,599,2,5597,0
married_filing_jointly,56500,1556,8210,4815,1,471,0
single,44885,1076,3521,1912,0,3145,0
single,70730,1304,572,1292,1,5249,0
married_filing_jointly,42030,2078,7082,600,1,0,821
head_of_household,60563,2384,7832,380,2,219,0
head_of_household,59817,182,5395,4213,0,3934,0
married_filing_jointly,81717,1469,2258,3637,2,2067,0
married_filing_jointly,69493,1479,6039,2163,1,2358,0
married_filing_jointly,59499,1589,650,4355,3,0,3117
married_filing_jointly,76355,1587,5741,1098,1,3420,0
married_filing_jointly,87804,659,6838,365,2,4305,0
head_of_household,71156,159,2587,2570,3,0,214
head_of_household,60207,2459,7876,3419,2,0,196
married_filing_jointly,33763,1011,3262,2476,2,0,3742
single,38697,52,1338,790,0,2660,0
married_filing_jointly,53895,2455,4996,3569,3,0,3799
single,47809,1045,5780,746,1,1640,0
married_filing_jointly,56260,1053,2827,312,2,0,956
married_filing_jointly,61132,2307,5232,4633,1,959,0
head_of_household,70593,1228,2217,920,0,5789,0
single,58590,1494,3539,1077,0,4840,0
single,69730,1489,7845,2829,3,651,0
head_of_household,61289,1035,9229,2381,0,4228,0
head_of_household,20490,1950,4383,3618,0,0,0
head_of_household,41213,849,2961,797,1,32,0
head_of_household,57118,353,3226,4443,0,3562,0
single,35806,1098,6837,272,0,2250,0
single,71998,1739,7031,3010,2,3055,0
married_filing_jointly,90615,1464,9290,4815,0,7767,0
married_filing_jointly,84375,990,9131,1773,2,3168,0
head_of_household,55731,1264,3716,2547,0,3514,0
head_of_household,89814,1884,3414,3164,0,9380,0
head_of_household,62973,1809,1448,4780,3,0,1949
married_filing_jointly,53258,2341,570,4717,3,0,4000
married_filing_jointly,47731,2256,2904,946,2,0,2200
married_filing_jointly,53950,1111,2505,2665,0,2476,0
married_filing_jointly,52236,817,917,506,1,565,0
married_filing_jointly,63408,1799,6982,243,3,0,2180
married_filing_jointly,63211,1960,7427,505,1,1745,0
married_filing_jointly,60060,2437,6336,4517,3,0,3171
head_of_household,68738,2372,1678,3158,3,0,1131
head_of_household,83812,888,615,3590,0,8184,0
head_of_household,78991,1855,9941,1872,3,1289,0
head_of_household,30302,1180,7086,3793,1,0,1547
married_filing_jointly,10000,667,4749,1192,3,0,6000
single,78686,632,3505,4425,2,4458,0
married_filing_jointly,32662,1642,4529,4745,0,0,0
single,55504,136,1135,1464,0,4586,0
head_of_household,36597,1946,8566,390,2,0,2604
married_filing_jointly,23960,1697,7226,4476,2,0,4000
head_of_household,70829,427,5162,3377,2,1477,0
married_filing_jointly,75183,1475,206,4837,3,0,1279
head_of_household,48469,818,4875,4915,0,2412,0
single,10000,2188,1319,672,2,0,4000
single,49075,1106,1141,2560,3,0,2432
single,67836,2224,4627,1211,2,2428,0
married_filing_jointly,30421,197,7389,929,1,0,1840
single,63667,1995,2690,1539,1,3489,0
married_filing_jointly,59693,2448,7323,912,0,3215,0
single,71585,470,3255,643,3,1764,0
single,62391,2265,8281,4522,1,2790,0
married_filing_jointly,40538,1948,5213,501,1,0,961
married_filing_jointly,83931,928,4108,729,3,1313,0
single,56829,2010,3020,1283,2,542,0
married_filing_jointly,59453,905,1857,2118,3,0,2772
single,41334,2222,8996,4552,2,0,1734
married_filing_jointly,51134,22,9136,4386,1,63,0
head_of_household,42303,234,2789,3836,1,0,128
head_of_household,56541,1124,3875,919,1,1823,0
head_of_household,94234,928,7605,4050,0,10367,0
head_of_household,32561,522,9802,2339,0,890,0
head_of_household,27728,1808,8135,755,0,436,0
single,89423,430,6055,1869,3,5427,0
head_of_household,55813,792,3882,4472,1,1349,0
head_of_household,46618,1629,7175,507,1,621,0
head_of_household,80798,1736,7129,1436,3,1809,0
head_of_household,47887,532,5021,2575,0,2657,0
married_filing_jointly,96520,1746,4735,3426,3,3310,0
single,73558,1675,2387,558,0,7952,0
head_of_household,50241,1316,6582,3102,1,782,0
head_of_household,103146,912,9133,4516,2,8229,0
head_of_household,47885,1124,5866,3622,0,2460,0
single,74841,1525,2566,4399,1,5422,0
married_filing_jointly,65985,1327,975,4057,1,1728,0
single,86034,1023,7212,3715,2,6145,0
married_filing_jointly,91230,1576,9146,1301,1,6651,0
head_of_household,60640,1378,1262,2155,1,2136,0
head_of_household,44931,1519,5047,692,0,2410,0
single,69199,1681,9135,4350,0,6157,0
single,46445,1997,7382,1478,2,0,725
married_filing_jointly,100267,226,6231,256,2,7166,0
married_filing_jointly,62730,1259,3327,2430,1,1540,0
single,52693,872,5630,441,0,4283,0
married_filing_jointly,63693,891,2259,1881,2,0,233
single,33057,1478,1257,2646,2,0,2410
married_filing_jointly,40567,1036,464,3820,3,0,5198
single,84008,2257,3294,4677,2,5216,0
single,46862,396,6774,1735,1,1485,0
single,39061,1123,7431,3735,0,2222,0
married_filing_jointly,70733,2078,1230,2645,2,377,0
married_filing_jointly,83714,648,9076,18,3,1484,0
married_filing_jointly,74379,328,3805,1124,0,5257,0
single,79920,1482,6419,3985,2,4640,0
married_filing_jointly,44864,951,5750,2654,3,0,4592
married_filing_jointly,31563,2005,3856,2080,2,0,4000
single,90026,2016,3135,1547,0,11282,0
head_of_household,53546,1878,6953,861,0,3380,0
single,54983,1196,9116,154,0,4553,0
married_filing_jointly,86563,1772,6034,3494,1,5098,0
single,71124,161,4589,904,2,3673,0
head_of_household,69117,1751,1546,1269,1,3272,0
single,103300,775,6065,404,0,14727,0
married_filing_jointly,47129,1827,1094,843,3,0,4208
head_of_household,78556,2321,2411,1782,2,3111,0
married_filing_jointly,61140,1051,2617,1564,1,1479,0
head_of_household,65371,2373,8954,1184,2,701,0
head_of_household,90569,939,4145,746,3,4285,0
single,70156,539,2775,1725,1,5196,0
single,70765,821,6628,3188,0,6946,0
married_filing_jointly,81450,1461,3155,270,1,4751,0
single,52700,1088,3970,4865,2,0,272
single,43215,355,7972,3956,2,0,1213
head_of_household,39103,234,8775,171,2,0,2072
single,20672,2274,5415,273,2,0,3572
head_of_household,101124,1548,4331,2306,0,12130,0
head_of_household,37935,2096,1942,1158,1,0,554
head_of_household,55574,117,6026,1706,0,3734,0
married_filing_jointly,54463,2101,8301,1771,0,2526,0
married_filing_jointly,66148,1673,191,421,0,4142,0
married_filing_jointly,76314,1067,9095,1209,2,1501,0
head_of_household,77209,2100,861,4675,2,2226,0
married_filing_jointly,48338,557,6711,890,2,0,1917
married_filing_jointly,56657,1815,9275,4817,1,459,0
single,65651,2005,649,3267,3,0,456
married_filing_jointly,55026,397,4134,4976,2,0,1585
married_filing_jointly,92146,674,7587,1473,1,7013,0
head_of_household,69819,386,8828,3243,2,1293,0
head_of_household,74697,2158,1036,4478,2,1704,0
head_of_household,73257,2064,4131,2181,0,5914,0
head_of_household,83469,883,2148,1449,0,8581,0
head_of_household,63620,540,5457,3096,0,4482,0
head_of_household,34063,170,6079,3256,1,0,1016
married_filing_jointly,67993,2456,2430,3156,3,0,2058
head_of_household,46972,739,1879,1590,3,0,3358
head_of_household,49427,1401,7542,4239,1,538,0
single,71727,2277,2011,3981,2,2663,0
married_filing_jointly,84765,118,3373,1435,1,5520,0
married_filing_jointly,60425,2151,7357,223,2,0,577
married_filing_jointly,66176,1995,1289,219,1,2131,0
head_of_household,94044,1705,1447,4274,1,8105,0
head_of_household,64815,1722,3199,1654,1,2656,0
head_of_household,112033,2222,6381,4528,3,7893,0
single,71310,1697,7522,264,0,7517,0
head_of_household,24784,1444,6059,953,1,0,1841
single,75066,1759,3183,4524,3,1392,0
married_filing_jointly,67623,1524,5462,3733,0,3939,0
head_of_household,85795,664,3216,2774,0,8850,0
single,73463,32,3136,3124,1,5728,0
single,57230,2102,3318,479,2,675,0
head_of_household,35514,2059,2782,3514,2,0,3085
married_filing_jointly,55819,1551,9182,1353,2,0,1194
married_filing_jointly,42989,719,7657,3322,1,0,870
married_filing_jointly,48389,2420,4920,3878,2,0,2493
single,71771,483,6324,889,3,1748,0
single,93398,972,6327,3854,3,5746,0
single,67893,306,8417,924,3,926,0
single,36082,456,776,2170,3,0,3867
married_filing_jointly,68892,2207,5208,1902,0,4229,0
head_of_household,83932,330,687,4873,3,2051,0
single,47804,224,529,2395,2,0,459
single,57319,1479,5067,28,1,2815,0
married_filing_jointly,60293,1082,8080,34,2,0,442
head_of_household,44302,643,5518,3589,3,0,3907
head_of_household,72965,615,2153,2670,0,6061,0
married_filing_jointly,57581,194,9486,3365,3,0,3061
married_filing_jointly,68390,488,6094,588,1,2533,0
head_of_household,42250,2204,6974,3218,2,0,2296
single,51250,1249,9718,3138,1,1741,0
head_of_household,74447,2459,4774,903,1,4370,0
married_filing_jointly,52543,1102,7692,4086,1,138,0
single,94539,1147,3103,2169,2,8329,0
single,52007,1241,2440,339,3,0,1830
married_filing_jointly,64493,515,4135,4270,1,1620,0
married_filing_jointly,78651,1625,7124,1714,2,1782,0
married_filing_jointly,31632,1127,5201,4692,0,0,0
head_of_household,24783,392,844,4546,2,0,4000
head_of_household,29486,630,446,556,0,750,0
single,85251,1847,3915,3087,2,5930,0
married_filing_jointly,48962,979,3109,3266,3,0,4177
single,111163,433,1234,3567,1,13836,0
single,48715,277,6587,2056,3,0,2316
single,63691,232,226,3899,2,1363,0
single,90842,1552,4143,1016,1,9680,0
married_filing_jointly,100121,1594,7185,2062,0,10435,0
single,101230,1113,5558,838,2,10101,0
married_filing_jointly,84167,2409,186,1637,1,4840,0
married_filing_jointly,80481,25,2535,4321,0,5963,0
head_of_household,71850,1417,1932,3496,0,5457,0
married_filing_jointly,75567,2314,9040,1813,3,0,971
head_of_household,48976,460,2032,3479,2,0,1311
married_filing_jointly,43636,1091,1252,1451,0,1387,0
married_filing_jointly,59932,1006,5509,2313,1,1249,0
married_filing_jointly,56596,1994,5074,1514,0,2826,0
head_of_household,50935,490,1881,1231,0,3189,0
head_of_household,73927,1072,269,1645,3,397,0
single,79106,215,1630,2999,3,2956,0
